                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93703,                0.47774,                0.81678,                 2.2693,             0.00023768,             0.00023768,             0.00023768
                      2,                0.47631,                0.58497,                0.89557,                 2.1819,             0.00044625,             0.00044625,             0.00044625
                      3,                   0.39,                0.59883,                0.90618,                 2.1537,             0.00062536,             0.00062536,             0.00062536
                      4,                0.33351,                0.64662,                0.92657,                 2.1286,             0.00058146,             0.00058146,             0.00058146
                      5,                0.28225,                0.68531,                0.93951,                  2.104,             0.00058146,             0.00058146,             0.00058146
                      6,                0.24765,                0.68193,                0.94196,                 2.1009,             0.00053728,             0.00053728,             0.00053728
                      7,                0.21197,                0.70152,                0.94557,                 2.0868,             0.00049311,             0.00049311,             0.00049311
                      8,                0.19283,                0.69697,                0.93776,                 2.0851,             0.00044893,             0.00044893,             0.00044893
                      9,                0.16594,                0.70851,                0.94732,                 2.0778,             0.00040475,             0.00040475,             0.00040475
                     10,                 0.1509,                0.72506,                0.95268,                 2.0706,             0.00036057,             0.00036057,             0.00036057
                     11,                0.13352,                0.72179,                0.94883,                 2.0704,             0.00031639,             0.00031639,             0.00031639
                     12,                0.12216,                0.72413,                0.95291,                 2.0676,             0.00027221,             0.00027221,             0.00027221
                     13,                0.10862,                0.72879,                0.95047,                 2.0652,             0.00022803,             0.00022803,             0.00022803
                     14,                0.09943,                0.73415,                0.95233,                 2.0609,             0.00018385,             0.00018385,             0.00018385
                     15,                0.09082,                0.74079,                0.95152,                 2.0571,             0.00013968,             0.00013968,             0.00013968
                     16,                0.08265,                0.73881,                 0.9521,                 2.0577,             9.5498e-05,             9.5498e-05,             9.5498e-05
